"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1690","User is able to Logout","webkit","Wed Apr 09 08:23:43 GMT 2025","passed","Wed Apr 09 08:23:44 GMT 2025","End to end tests","tests.spec.ts","",""
"","3279","User is able to Add a Contact on Contact Page","chromium","Wed Apr 09 08:23:23 GMT 2025","passed","Wed Apr 09 08:23:27 GMT 2025","End to end tests","tests.spec.ts","",""
"","369","Login page elements is visible","chromium","Wed Apr 09 08:23:27 GMT 2025","passed","Wed Apr 09 08:23:27 GMT 2025","Website elements is visible","tests.spec.ts","",""
"","1722","User is able to Login","webkit","Wed Apr 09 08:23:41 GMT 2025","passed","Wed Apr 09 08:23:43 GMT 2025","End to end tests","tests.spec.ts","",""
"","1596","User is able to Logout","firefox","Wed Apr 09 08:23:34 GMT 2025","passed","Wed Apr 09 08:23:36 GMT 2025","End to end tests","tests.spec.ts","",""
"","1446","User is able to Logout","chromium","Wed Apr 09 08:23:27 GMT 2025","passed","Wed Apr 09 08:23:28 GMT 2025","End to end tests","tests.spec.ts","",""
"","1555","Contacts page elements is visible","chromium","Wed Apr 09 08:23:28 GMT 2025","passed","Wed Apr 09 08:23:29 GMT 2025","Website elements is visible","tests.spec.ts","",""
"","750","Add Contact page elements is visible","webkit","Wed Apr 09 08:23:44 GMT 2025","passed","Wed Apr 09 08:23:45 GMT 2025","Website elements is visible","tests.spec.ts","",""
"","1510","User is able to Login","chromium","Wed Apr 09 08:23:26 GMT 2025","passed","Wed Apr 09 08:23:27 GMT 2025","End to end tests","tests.spec.ts","",""
"","667","Add Contact page elements is visible","firefox","Wed Apr 09 08:23:36 GMT 2025","passed","Wed Apr 09 08:23:37 GMT 2025","Website elements is visible","tests.spec.ts","",""
"","1940","User is able to Sign Up","chromium","Wed Apr 09 08:23:23 GMT 2025","passed","Wed Apr 09 08:23:25 GMT 2025","End to end tests","tests.spec.ts","",""
"","474","Login page elements is visible","firefox","Wed Apr 09 08:23:35 GMT 2025","passed","Wed Apr 09 08:23:36 GMT 2025","Website elements is visible","tests.spec.ts","",""
"","1603","User is able to Login","firefox","Wed Apr 09 08:23:33 GMT 2025","passed","Wed Apr 09 08:23:35 GMT 2025","End to end tests","tests.spec.ts","",""
"","1774","Contacts page elements is visible","firefox","Wed Apr 09 08:23:36 GMT 2025","passed","Wed Apr 09 08:23:38 GMT 2025","Website elements is visible","tests.spec.ts","",""
"","4461","User is able to Add a Contact on Contact Page","firefox","Wed Apr 09 08:23:29 GMT 2025","passed","Wed Apr 09 08:23:34 GMT 2025","End to end tests","tests.spec.ts","",""
"","2040","User is able to Sign Up","webkit","Wed Apr 09 08:23:39 GMT 2025","passed","Wed Apr 09 08:23:41 GMT 2025","End to end tests","tests.spec.ts","",""
"","2747","User is able to Sign Up","firefox","Wed Apr 09 08:23:30 GMT 2025","passed","Wed Apr 09 08:23:33 GMT 2025","End to end tests","tests.spec.ts","",""
"","603","Sign Up page elements is visible","webkit","Wed Apr 09 08:23:44 GMT 2025","passed","Wed Apr 09 08:23:44 GMT 2025","Website elements is visible","tests.spec.ts","",""
"","521","Sign Up page elements is visible","firefox","Wed Apr 09 08:23:36 GMT 2025","passed","Wed Apr 09 08:23:36 GMT 2025","Website elements is visible","tests.spec.ts","",""
"","4102","User is able to Add a Contact on Contact Page","webkit","Wed Apr 09 08:23:38 GMT 2025","passed","Wed Apr 09 08:23:42 GMT 2025","End to end tests","tests.spec.ts","",""
"","1958","Contacts page elements is visible","webkit","Wed Apr 09 08:23:44 GMT 2025","passed","Wed Apr 09 08:23:46 GMT 2025","Website elements is visible","tests.spec.ts","",""
"","579","Login page elements is visible","webkit","Wed Apr 09 08:23:43 GMT 2025","passed","Wed Apr 09 08:23:44 GMT 2025","Website elements is visible","tests.spec.ts","",""
"","359","Sign Up page elements is visible","chromium","Wed Apr 09 08:23:27 GMT 2025","passed","Wed Apr 09 08:23:28 GMT 2025","Website elements is visible","tests.spec.ts","",""
"","424","Add Contact page elements is visible","chromium","Wed Apr 09 08:23:28 GMT 2025","passed","Wed Apr 09 08:23:29 GMT 2025","Website elements is visible","tests.spec.ts","",""
